Match,,,,,
2024-01-25,Player,G,A,OG,Denar
Zeleni,Andraz,I,,,
,Bechon,I,,,
,JakaD,,I,I,
,MatevzK,III,I,,10
,Ziga,I,I,,
,,,,,
,,,,,
Rdeci,Gap,III,II,,
,Strumbl,II,I,,
,Janez,I,,,
,Zak,I,,,
,Jerry,,I,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
*,,,,,
