Match,,,,,
2024-05-16,Player,G,A,OG,Denar
Zeleni,Gap,III,,,
,JakaD,,II,,
,Strumbl,,I,,15
,Zan,,I,,
,Zak,,I,,
,Danijel,IIII,,,
,,,,,
Rdeci,MatevzK,I,,,
,Jerry,,,,
,Johnny,,,,
,Becho,II,,,
,Maks,,II,,
,Jerak,,,,
,,,,,
,,,,,
,,,,,
,,,,,
*,,,,,
