Match,,,,,
2023-09-28,Player,G,A,OG,Denar
Zeleni,Jan,II,II,,
,Maks,III,,,6
,Gap,IIII,III,,
,,,,,
,,,,,
,,,,,
,,,,,
Rdeci,Geric,III,II,,
,Gal,IIIIIIII,I,,3
,Becho,,II,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
*,,,,,
