Match,,,,,
2025-05-29,Player,G,A,OG,Denar
Zeleni,NikMilek,II,I,,
,Kadunc,I,II,,
,Maks,I,,,
,Ziga,,II,,
,,,,,
,,,,,
,,,,,
Rdeci,Nai,,I,,
,Andraz,IIII,II,,
,Strumbl,I,I,I,
,Sokler,III,II,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
*,,,,,
