Tournament,,,,,,,,
2024-09-26,,,,Player,Goli,Asistenca,AG,Denar
Team1,,,,JakaD,,,,
,W,0,0,Becho,II,I,,
,L,0,1,Gap,,,,
,T,0,1,Tilen,,I,,
,,,,Marko,I,,,
Team2,,,,Jan,,,,
,W,1,0,Andraz,I,,,
,L,0,0,Brin,II,I,,
,T,1,0,Zak,,,,
,,,,Jerak,,I,,
Team3,,,,Plut,,,,
,W,1,0,Skufca,II,,,
,L,1,0,MilekV,,,,
,T,0,0,Kadunc,III,I,,
,,,,Johnny,,I,,
None,,,,,,,,
,W,0,0,,,,,
,L,0,0,,,,,
,T,0,0,,,,,
,,,,,,,,
,,,,,Tournament,4x4,,
*,1st,2nd,Total,,1:2,,,
1:2,1:1,1:1,2:2,,1:3,,,
1:3,0:1,2:4,0:1,,1:4,,,
2:3,1:0,0:0,1:0,,2:3,,,
Tournament 3x3,,,,,2:4,,,
,,,,,3:4,,,
