Match,,,,,
2024-05-26,Player,G,A,OG,Denar
Zeleni,Strumbl,I,,,
,Sokler,,II,,
,Becho,,,,100
,Žiga,I,,,
,Vid,II,,,
,,,,,
,,,,,
Rdeci,Johnny,,,,
,JakaD,,I,,
,Gap,,III,,
,Maks,IIII,,,
,Danijel,I,I,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
*,,,,,
